,JENIS PPH,TAHUN PAJAK,MASA PAJAK,NOMOR BUPOT,IDENTITAS DIPOTONG,JENIS IDENTITAS DIPOTONG,NAMA DIPOTONG,KODE OBJEK PAJAK,JUMLAH BRUTO,PPH DIPOTONG,STATUS BUKTI POTONG,PEMB KE-,,NAMA DOK REF,NOMOR DOK REF,TGL DOK REF,STATUS PELAPORAN,,
,PPH23,2020,11,3300004422,031797459802000,NPWP,RAYA MOTOR PARE,24-104-18,1388888,27777,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30+07:00,BELUM POSTING,,
,PPH23,2020,11,3300004423,013028733038000,NPWP,ISTANA ,24-104-18,679884,13597,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004424,025685199441001,NPWP,AUTOBEST,24-104-18,3949624,78992,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004425,013929963073000,NPWP,TUNAS MOBILINDO ,24-104-18,2729727,54594,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004426,019804665441000,NPWP,BUDIJAYA ,24-104-18,1587788,31755,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004427,025871054425000,NPWP,PENTAGIOS,24-104-18,1361120,27222,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004428,752269373822000,NPWP,NENGGAPRATAMA ,24-104-18,3749625,74992,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004429,032930299822000,NPWP,NENGGAPRATAMA ,24-104-18,42901508,858030,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004430,014161509822000,NPWP,NENGGAPRATAMA ,24-104-18,29619095,592381,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004431,017077421062000,NPWP,ASCO PRIMA ,24-104-18,906505,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
